text,label,language,source
तपाईंको LinkedIn खातामा असामान्य गतिविधि देखिएको छ। तुरुन्तै https://short.url/verify-account मा गएर पासवर्ड परिवर्तन गर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Nabil Bank खातामा असामान्य गतिविधि देखिएको छ। तुरुन्तै [लिङ्क] मा गएर पासवर्ड परिवर्तन गर्नुहोस्।,Phishing,NP,chatgpt
भोलि बिहान १० बजे हाम्रो बोर्ड बैठक हुनेछ। कृपया समयमै उपस्थित हुनुहोला।,Safe,NP,chatgpt
तपाईंको LinkedIn सदस्यता म्याद सकिएको छ। सेवा सुचारु राख्न कार्ड विवरण यहाँ अपडेट गर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
तपाईंको Rastriya Banijya Bank बिल भुक्तानीको लागि धन्यवाद। विवरण संलग्न छ।,Safe,NP,chatgpt
तपाईंको Nabil Bank कर फिर्ता (Tax Refund) तयार छ। रकम प्राप्त गर्न आफ्नो बैंक विवरण यहाँ भर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
भोलि बिहान १० बजे हाम्रो बजेट योजना बैठक हुनेछ। कृपया समयमै उपस्थित हुनुहोला।,Safe,NP,chatgpt
तपाईंको Khalti मासिक स्टेटमेन्ट यस इमेलमा संलग्न गरिएको छ।,Safe,NP,chatgpt
तपाईंको Global IME Bank बाट आएको पार्सल डेलिभरी असफल भयो। ठेगाना सच्याउन यहाँ क्लिक गर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
तपाईंको Amazon सदस्यता म्याद सकिएको छ। सेवा सुचारु राख्न कार्ड विवरण यहाँ अपडेट गर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
तपाईंको Facebook मा नयाँ सन्देश प्राप्त भएको छ। हेर्नको लागि लगइन गर्नुहोस्: https://short.url/verify-account,Phishing,NP,chatgpt
तपाईंको Gyapu मासिक स्टेटमेन्ट यस इमेलमा संलग्न गरिएको छ।,Safe,NP,chatgpt
भोलि बिहान १० बजे हाम्रो साप्ताहिक समीक्षा बैठक हुनेछ। कृपया समयमै उपस्थित हुनुहोला।,Safe,NP,chatgpt
तपाईंको Daraz पासवर्डको म्याद आज सकिँदैछ। सुरक्षित रहन तुरुन्तै [लिङ्क] मा नयाँ पासवर्ड राख्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Rastriya Banijya Bank पासवर्डको म्याद आज सकिँदैछ। सुरक्षित रहन तुरुन्तै https://short.url/verify-account मा नयाँ पासवर्ड राख्नुहोस्।,Phishing,NP,chatgpt
"बधाई छ! तपाईंले Global IME Bank बाट रु. ५,००,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यहाँ जानुहोस्: https://bit.ly/nep-secure-login",Phishing,NP,chatgpt
तपाईंको नयाँ लगइन उपकरण सफलतापूर्वक दर्ता भयो।,Safe,NP,chatgpt
तपाईंको Amazon खातामा असामान्य गतिविधि देखिएको छ। तुरुन्तै https://short.url/verify-account मा गएर पासवर्ड परिवर्तन गर्नुहोस्।,Phishing,NP,chatgpt
चेतावनी: तपाईंको Nabil Bank एकाउन्टमा प्रतिलिपि अधिकार उल्लङ्घन भएको छ। २४ घण्टा भित्र https://नक्कली-लिङ्क.कम मा अपील नगरे एकाउन्ट डिलिट हुनेछ।,Phishing,NP,chatgpt
तपाईंको बिदाको निवेदन स्वीकृत भएको छ। राम्रो छुट्टी मनाउनुहोस्।,Safe,NP,chatgpt
"बधाई छ! तपाईंले NIC Asia Bank बाट रु. ५,००,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यहाँ जानुहोस्: [लिङ्क]",Phishing,NP,chatgpt
तपाईंको Nepal Bank खातामा असामान्य गतिविधि देखिएको छ। तुरुन्तै https://short.url/verify-account मा गएर पासवर्ड परिवर्तन गर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Sanima Bank अर्डर #23756 सफलतापूर्वक प्राप्त भयो। छिट्टै डेलिभरी हुनेछ।,Safe,NP,chatgpt
चेतावनी: तपाईंको Instagram एकाउन्टमा प्रतिलिपि अधिकार उल्लङ्घन भएको छ। २४ घण्टा भित्र https://bit.ly/nep-secure-login मा अपील नगरे एकाउन्ट डिलिट हुनेछ।,Phishing,NP,chatgpt
"बधाई छ! तपाईंले Khalti बाट रु. ५,००,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यहाँ जानुहोस्: https://bit.ly/nep-secure-login",Phishing,NP,chatgpt
हाम्रो सेवा प्रयोग गर्नुभएकोमा धन्यवाद। कृपया आफ्नो अनुभवको बारेमा प्रतिक्रिया दिनुहोस्।,Safe,NP,chatgpt
तपाईंको Rastriya Banijya Bank पासवर्डको म्याद आज सकिँदैछ। सुरक्षित रहन तुरुन्तै [लिङ्क] मा नयाँ पासवर्ड राख्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Global IME Bank बाट आएको पार्सल डेलिभरी असफल भयो। ठेगाना सच्याउन यहाँ क्लिक गर्नुहोस्: [लिङ्क],Phishing,NP,chatgpt
तपाईंको Sastodeal बिल भुक्तानीको लागि धन्यवाद। विवरण संलग्न छ।,Safe,NP,chatgpt
तपाईंको Rastriya Banijya Bank अर्डर #61282 सफलतापूर्वक प्राप्त भयो। छिट्टै डेलिभरी हुनेछ।,Safe,NP,chatgpt
"बधाई छ! तपाईंले Nepal Bank बाट रु. २५,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यहाँ जानुहोस्: https://bit.ly/nep-secure-login",Phishing,NP,chatgpt
हामीले हाम्रो गोपनीयता नीति अपडेट गरेका छौं। थप जानकारीको लागि हाम्रो वेबसाइट हेर्नुहोस्।,Safe,NP,chatgpt
"बधाई छ! तपाईंले Rastriya Banijya Bank बाट रु. ५०,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यहाँ जानुहोस्: https://नक्कली-लिङ्क.कम",Phishing,NP,chatgpt
तपाईंको Amazon बिल भुक्तानीको लागि धन्यवाद। विवरण संलग्न छ।,Safe,NP,chatgpt
"बधाई छ! तपाईंले Ministry of Labour बाट रु. ५०,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यहाँ जानुहोस्: https://short.url/verify-account",Phishing,NP,chatgpt
तपाईंको Gyapu खातामा असामान्य गतिविधि देखिएको छ। तुरुन्तै https://bit.ly/nep-secure-login मा गएर पासवर्ड परिवर्तन गर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Rastriya Banijya Bank अर्डर #67083 सफलतापूर्वक प्राप्त भयो। छिट्टै डेलिभरी हुनेछ।,Safe,NP,chatgpt
तपाईंको Global IME Bank बिल भुक्तानीको लागि धन्यवाद। विवरण संलग्न छ।,Safe,NP,chatgpt
तपाईंको WhatsApp पासवर्डको म्याद आज सकिँदैछ। सुरक्षित रहन तुरुन्तै https://short.url/verify-account मा नयाँ पासवर्ड राख्नुहोस्।,Phishing,NP,chatgpt
तपाईंको IME Pay अर्डर #27653 सफलतापूर्वक प्राप्त भयो। छिट्टै डेलिभरी हुनेछ।,Safe,NP,chatgpt
तपाईंको IME Pay अर्डर #93425 सफलतापूर्वक प्राप्त भयो। छिट्टै डेलिभरी हुनेछ।,Safe,NP,chatgpt
तपाईंको Amazon केवाईसी (KYC) अपडेट नभएकोले खाता रोक्का गरिएको छ। आजै [लिङ्क] मा गएर फारम भर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Rastriya Banijya Bank मासिक स्टेटमेन्ट यस इमेलमा संलग्न गरिएको छ।,Safe,NP,chatgpt
तपाईंको Sastodeal सदस्यता म्याद सकिएको छ। सेवा सुचारु राख्न कार्ड विवरण यहाँ अपडेट गर्नुहोस्: https://नक्कली-लिङ्क.कम,Phishing,NP,chatgpt
तपाईंको Nepal Bank पासवर्ड सफलतापूर्वक परिवर्तन भयो।,Safe,NP,chatgpt
तपाईंको Daraz खातामा असामान्य गतिविधि देखिएको छ। तुरुन्तै [लिङ्क] मा गएर पासवर्ड परिवर्तन गर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको अस्पताल अपोइन्टमेन्ट भोलि दिउँसो २ बजेको लागि तय गरिएको छ।,Safe,NP,chatgpt
तपाईंको Facebook बाट आएको पार्सल डेलिभरी असफल भयो। ठेगाना सच्याउन यहाँ क्लिक गर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
तपाईंको अस्पताल बिल भुक्तानीको लागि धन्यवाद। विवरण संलग्न छ।,Safe,NP,chatgpt
तपाईंको NIC Asia Bank अपोइन्टमेन्ट भोलि दिउँसो २ बजेको लागि तय गरिएको छ।,Safe,NP,chatgpt
तपाईंको Sanima Bank केवाईसी (KYC) अपडेट नभएकोले खाता रोक्का गरिएको छ। आजै https://short.url/verify-account मा गएर फारम भर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Khalti पासवर्ड सफलतापूर्वक परिवर्तन भयो।,Safe,NP,chatgpt
तपाईंको LinkedIn कर फिर्ता (Tax Refund) तयार छ। रकम प्राप्त गर्न आफ्नो बैंक विवरण यहाँ भर्नुहोस्: https://नक्कली-लिङ्क.कम,Phishing,NP,chatgpt
तपाईंको Twitter सदस्यता म्याद सकिएको छ। सेवा सुचारु राख्न कार्ड विवरण यहाँ अपडेट गर्नुहोस्: https://short.url/verify-account,Phishing,NP,chatgpt
तपाईंको Siddhartha Bank अर्डर #24121 सफलतापूर्वक प्राप्त भयो। छिट्टै डेलिभरी हुनेछ।,Safe,NP,chatgpt
तपाईंको Rastriya Banijya Bank बाट आएको पार्सल डेलिभरी असफल भयो। ठेगाना सच्याउन यहाँ क्लिक गर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
चेतावनी: तपाईंको IME Pay एकाउन्टमा प्रतिलिपि अधिकार उल्लङ्घन भएको छ। २४ घण्टा भित्र https://नक्कली-लिङ्क.कम मा अपील नगरे एकाउन्ट डिलिट हुनेछ।,Phishing,NP,chatgpt
तपाईंको Amazon पासवर्ड सफलतापूर्वक परिवर्तन भयो।,Safe,NP,chatgpt
तपाईंको Amazon मा नयाँ सन्देश प्राप्त भएको छ। हेर्नको लागि लगइन गर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
तपाईंको Instagram केवाईसी (KYC) अपडेट नभएकोले खाता रोक्का गरिएको छ। आजै [लिङ्क] मा गएर फारम भर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Facebook पासवर्डको म्याद आज सकिँदैछ। सुरक्षित रहन तुरुन्तै https://short.url/verify-account मा नयाँ पासवर्ड राख्नुहोस्।,Phishing,NP,chatgpt
तपाईंको eSewa बिल भुक्तानीको लागि धन्यवाद। विवरण संलग्न छ।,Safe,NP,chatgpt
तपाईंको Amazon अपोइन्टमेन्ट भोलि दिउँसो २ बजेको लागि तय गरिएको छ।,Safe,NP,chatgpt
तपाईंको Rastriya Banijya Bank कर फिर्ता (Tax Refund) तयार छ। रकम प्राप्त गर्न आफ्नो बैंक विवरण यहाँ भर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
तपाईंको Internal Revenue Department सदस्यता म्याद सकिएको छ। सेवा सुचारु राख्न कार्ड विवरण यहाँ अपडेट गर्नुहोस्: https://short.url/verify-account,Phishing,NP,chatgpt
